judge_id,shiny_info,shiny_timestamp,study_id,num_judgements,time_spent_s
1,379bf978e99ba6555f38a59c84a03054,2021-12-14 12:25:50,cj_rank,23,289.839
2,28ff5e380cb789f5289d31c5e9612f7e,2021-12-14 14:40:11,cj_rank,,
3,4d6c6e7d64036f72cb42d218d010ff29,2021-12-14 14:40:45,rank_cj,22,505.157
4,790c00fefe1fad05f88716e537d7b1a4,2021-12-14 14:41:59,rank_cj,24,385.688
5,807c4c28c376799892165711bfb5042f,2021-12-14 14:50:25,cj_ccj,,
6,1f4ef3ff1448ef638a4d02b8fd106a40,2021-12-14 14:51:18,cj_ccj,,
7,525ff0aeddec9a224248d43ece2d3367,2021-12-14 15:02:31,ccj_cj,,
8,ce7cd561ed088d6aedf67702df7983a5,2021-12-14 15:11:46,ccj_cj,,
9,451ba28e524c8fa9f69d43c23a4a0d64,2021-12-14 15:17:18,cj_rank,,
10,b651715d88712f468f0efa9108178aef,2021-12-14 15:26:38,rank_cj,6,9.935
11,4f0ff202ed0b570c58fa277f43067b0d,2021-12-14 15:42:52,cj_ccj,,
12,00bbea36dc6ce925f4c75eb8ff012cca,2021-12-14 18:53:59,ccj_cj,16,257.79
13,88518fb3cb3a8e42c8c47a5fc69d96fd,2021-12-14 20:57:33,cj_rank,,
14,4369866be02d5412ea61623bfc3b5cb1,2021-12-15 04:30:40,rank_cj,,
15,b0d201dce11c87467324fcb166620350,2021-12-15 09:19:24,cj_ccj,33,466.95
16,1b19cec40572d2d25f8220cd1a8904c6,2021-12-15 09:47:40,ccj_cj,33,482.712
17,55d9a6783108a535a2c9ea86a5a3716b,2021-12-15 11:50:41,cj_rank,,
18,825ae0eef9b89ae06dac03390c841878,2021-12-15 14:47:09,rank_cj,23,264.149
19,d5757875b59aa984a90362142a721b84,2021-12-15 17:48:38,cj_ccj,,
20,8b63b2c5fa19939db91e887982da9aec,2021-12-17 10:34:40,ccj_cj,33,428.716
21,f9ba019c2a4c400a2eead72da5690ed9,2021-12-23 10:17:59,cj_rank,23,432.26
22,e43646ec6f470ca81ba4e8676d4a70e0,2022-01-05 16:21:17,rank_cj,23,327.198
25,6d7219e7a4649d24e46bf7f6baf54150,2022-01-18 15:46:30,cj_ccj,35,685.775
26,0a8f8bbd511a5d53a1d6740cc2bc3122,2022-01-18 15:49:43,cj_ccj,,
27,737be30f535523db915f8e650355f305,2022-01-18 16:26:06,cj_rank,23,338.617
28,94e9044e1ae08ee139c11377d5c06ce9,2022-01-18 17:34:34,cj_ccj,33,499.377
29,ed5a8f29839b66a7c0953a31acc0bf13,2022-01-19 00:03:38,cj_rank,23,411.302
30,363fd3da8a8aafdca66d6adcfd04017e,2022-01-19 09:14:34,cj_ccj,33,656.753
31,c14612a203a9d26393849d5a32978934,2022-01-19 10:01:56,ccj_cj,33,453.052
32,564be64b36b50d2f31567e2c610b4804,2022-01-20 09:58:49,cj_rank,23,280.141
33,61c519ea4984947af7d660387bb4a217,2022-01-24 09:31:41,cj_ccj,33,500.463
34,d09dcfc8ba06963b8866afd79ce972c7,2022-01-28 01:09:29,ccj_cj,33,484.838
